Pref.,npatients,ndeaths,Total cases(ave7),cases(ave7),cases/pop,Total deaths(ave7),deaths(ave7),death/pop,Td7,Rt,K,CFR
Hokkaido,18011,619.0,17728.0,80.85714285714283,1.5512274786299225,88.42857142857143,2.428571428571428,0.046591638050722056,106.99177183895682,0.7168621299964194,0.04433664259927794,0.030035335689045938
Hyogo,16989,441.0,16668.42857142857,90.28571428571428,1.6600022740980518,63.0,6.0,0.11031660682297181,70.1640404541485,0.5350318562695481,0.06681579375894542,0.06645569620253165
Ibaraki,5092,75.0,4936.714285714285,39.14285714285714,1.3714457094946637,10.714285714285714,1.857142857142857,0.06506859205631617,53.27905936718495,0.5940988800103287,0.08704459299128964,0.04744525547445255
Ishikawa,1533,59.0,1490.142857142857,10.142857142857142,0.8974716958283873,8.428571428571429,0.14285714285714285,0.012640446420118131,130.74721104953,1.2491388562458685,0.03642987249544627,0.014084507042253521
Iwate,513,29.0,504.1428571428571,2.4285714285714284,0.20034395521629073,4.142857142857142,0.2857142857142857,0.0235698770842695,194.3778552372985,1.3647093553343677,0.02465287616888645,0.11764705882352941
Kagawa,694,16.0,670.4285714285713,6.999999999999998,0.737773252768494,2.2857142857142856,0.14285714285714285,0.01505659699527539,49.6410563267602,0.9208029617463911,0.09311740890688258,0.020408163265306128
Kagoshima,1656,19.0,1632.8571428571427,8.285714285714285,0.5219867102183577,2.714285714285714,0.14285714285714285,0.008999770865833756,94.00303906000613,0.6728733065903942,0.050306211723534555,0.017241379310344827
Kanagawa,42117,538.0,41426.57142857143,193.28571428571428,2.0977050873782543,76.85714285714285,10.142857142857142,0.11007912875377387,77.11317147916394,0.5155208446375423,0.06098225431572568,0.0524759793052476
Kochi,860,17.0,852.4285714285713,1.857142857142857,0.26923503079116784,2.4285714285714284,0.42857142857142855,0.062131160951807964,184.350856506416,0.5375457967776934,0.025976202446790664,0.23076923076923078
Kumamoto,3372,64.0,3358.142857142857,4.7142857142857135,0.27157572432331756,9.142857142857142,0.42857142857142855,0.02468870221121069,130.02890370836153,0.23211090369912898,0.036627387586676274,0.09090909090909093
Kyoto,8651,127.0,8519.142857142857,64.42857142857143,2.5084836527793635,18.142857142857142,2.142857142857143,0.08343072015895887,59.96758885774228,0.6599364982223738,0.07772411711439775,0.03325942350332594
Mie,2298,33.0,2251.8571428571427,15.714285714285714,0.8890106564091,4.714285714285714,0.5714285714285714,0.032327660233058185,58.97249093628718,0.5762124835021909,0.07898242720294357,0.03636363636363636
Miyagi,3461,22.0,3430.142857142857,9.142857142857142,0.39878296424100695,3.142857142857143,0.0,0.0,123.50631544048542,0.4208245633581574,0.03852400982882842,0.0
Miyazaki,1879,20.0,1856.2857142857138,10.142857142857144,0.9534920167873686,2.8571428571428568,0.42857142857142855,0.040288395075522614,93.80846366475608,0.7221048017133868,0.050407880560258356,0.042253521126760556
