番号,地点記号,掲載地点名,緯度,経度,MSL潮位表基準面,MSL標高,潮位表基準面標高,M2振幅,M2遅角,S2振幅,S2遅角,K1振幅,K1角度,O1振幅,O1遅角,分潮一覧表,備考
63,QS,横浜,35゜27',139゜39',115.0,6.5,-108.5,44.49,152.70,21.89,181.29,24.63,179.10,19.37,160.51,-,
64,HM,本牧,35゜26',139゜40',115.0,-,-,44.50,152.66,21.84,181.90,24.59,178.87,19.38,160.50,-,
65,QN,横須賀,35゜17',139゜39',110.0,6.8,-103.2,41.09,152.18,20.08,181.02,24.13,179.04,19.01,160.55,-,
66,Z1,油壺,35゜10',139゜37',93.0,4.3,-88.7,36.05,146.48,17.07,174.36,23.18,177.13,18.23,158.40,-,
67,OK,岡田,34゜47',139゜23',90.0,2.1,-87.9,33.88,144.86,16.22,173.44,22.71,178.69,17.89,159.79,2015年,
68,QO,神津島,34゜13',139゜08',97.0,-,-97.0,38.41,164.50,18.11,190.52,22.40,186.38,17.57,166.22,-,＊１
69,MJ,三宅島（坪田）,34゜03',139゜33',91.0,-16.1,-107.1,36.46,151.79,16.83,179.28,22.88,175.49,18.00,157.06,2015年,
70,QP,三宅島（阿古）,34゜04',139゜29',91.0,-11.6,-102.6,34.50,155.94,16.58,182.82,22.05,184.60,17.33,165.38,-,
71,D4,八丈島（八重根）,33゜06',139゜46',95.0,-,-,33.56,164.65,15.72,189.54,22.06,189.80,17.32,168.33,-,
72,QQ,八丈島（神湊）,33゜08',139゜48',81.0,0.3,-80.7,32.20,158.93,15.59,185.79,20.07,181.30,15.42,164.43,-,
73,CC,父島,27゜06',142゜12',68.0,3.6,-64.4,28.37,185.66,12.71,208.98,16.39,195.26,12.01,175.41,2015年,
74,MC,南鳥島,24゜17',153゜59',30.0,-,-30.0,7.85,91.50,4.81,137.69,9.80,197.25,7.67,174.78,2015年,＊１
75,D8,湘南港,35゜18',139゜29',92.0,-,-,36.02,149.23,17.01,176.62,23.16,178.82,18.32,158.57,-,
76,OD,小田原,35゜14',139゜09',95.0,2.5,-92.5,34.00,145.24,16.21,172.86,22.93,174.92,17.92,156.95,2015年,
77,Z3,伊東,34゜54',139゜08',98.0,7.5,-90.5,35.43,146.46,16.76,174.47,23.77,177.51,18.49,158.44,-,
78,D6,下田,34゜41',138゜58',101.0,-,-,39.08,159.23,18.38,185.88,24.24,181.76,18.70,162.09,-,
79,QK,南伊豆,34゜38',138゜53',100.0,-,-,39.90,162.90,18.52,188.38,24.13,184.16,18.60,164.18,-,
80,G9,石廊崎,34゜37',138゜51',100.0,7.1,-92.9,39.90,165.00,18.65,190.11,24.43,185.58,18.74,165.21,2015年,
81,Z4,田子,34゜48',138゜46',100.0,13.8,-86.2,40.40,166.24,18.93,192.18,20.85,187.53,16.22,168.33,-,
82,UC,内浦,35゜01',138゜53',100.0,11.2,-88.8,40.54,167.58,18.79,192.43,20.53,180.32,15.26,161.66,2015年,
83,SM,清水港,35゜01',138゜31',95.0,19.4,-75.6,39.48,166.39,18.51,191.62,21.18,180.44,15.67,160.64,2015年,
84,Z5,焼津,34゜52',138゜20',95.0,17.8,-77.2,40.90,164.70,18.90,190.43,22.90,182.93,17.43,161.43,-,
85,OM,御前崎,34゜37',138゜13',100.0,8.1,-91.9,40.91,166.08,19.00,191.61,23.04,185.81,17.82,164.64,2015年,
86,MI,舞阪,34゜41',137゜37',70.0,5.5,-64.5,31.91,178.49,14.17,203.08,16.96,193.08,12.53,173.32,2015年,
87,I4,赤羽根,34゜36',137゜11',105.0,-4.3,-109.3,43.99,167.49,20.46,192.11,22.01,182.75,16.50,162.86,2015年,
88,G4,三河,34゜44',137゜19',135.0,-,-,61.81,176.24,29.28,202.23,23.91,186.99,17.94,166.49,-,
89,G5,形原,34゜47',137゜11',135.0,-,-,60.40,180.28,28.12,206.47,23.87,189.70,18.14,168.58,-,
90,G8,衣浦,34゜53',136゜57',130.0,-,-,60.12,177.69,28.37,203.74,23.62,187.21,17.67,167.03,-,
91,ZD,鬼崎,34゜54',136゜49',130.0,-1.3,-131.3,62.16,176.76,29.20,202.91,23.87,186.96,17.86,166.52,-,
92,NG,名古屋,35゜05',136゜53',140.0,3.7,-136.3,64.73,177.63,30.49,203.73,24.04,187.04,17.93,166.71,2015年,
93,G3,四日市港,34゜58',136゜38',130.0,-,-,62.61,176.62,29.39,202.79,23.86,186.68,17.83,166.25,-,
94,TB,鳥羽,34゜29',136゜49',120.0,1.9,-118.1,54.69,178.18,25.50,204.12,23.29,188.02,17.50,167.16,2015年,
95,OW,尾鷲,34゜05',136゜12',104.0,3.3,-100.7,43.85,169.90,19.84,194.23,22.20,185.95,17.17,165.55,2015年,
96,KN,熊野,33゜56',136゜10',102.0,6.0,-96.0,43.27,169.78,19.72,193.75,21.87,187.29,17.12,167.46,2015年,
97,UR,浦神,33゜34',135゜54',105.0,13.6,-91.4,45.66,171.45,20.40,196.05,21.43,186.87,16.41,167.82,2015年,
98,KS,串本,33゜29',135゜46',105.0,27.2,-77.8,45.38,174.98,20.21,198.02,21.82,188.11,16.50,167.88,2015年,
99,SR,白浜,33゜41',135゜23',110.0,15.4,-94.6,47.65,172.49,21.64,197.02,21.94,189.19,16.97,168.42,2015年,
100,GB,御坊,33゜51',135゜10',110.0,15.1,-94.9,48.09,173.89,21.84,198.24,21.97,188.91,17.15,168.46,2015年,
101,H1,下津,34゜07',135゜08',110.0,-,-,45.04,186.14,21.43,209.21,23.85,192.24,18.14,170.91,-,
102,Z9,海南,34゜09',135゜12',111.0,11.9,-99.1,44.31,186.19,21.43,207.95,24.01,191.71,18.38,170.72,-,
103,WY,和歌山,34゜13',135゜09',111.0,13.3,-97.7,43.67,187.74,21.17,209.19,24.06,192.23,18.45,171.22,2015年,
104,TN,淡輪,34゜20',135゜11',95.0,14.9,-80.1,31.19,204.94,17.21,220.88,25.28,201.01,19.15,178.93,2015年,
105,KK,関空島,34゜26',135゜12',95.0,-,-,29.25,209.19,16.83,223.66,25.44,203.36,19.17,181.43,-,
106,J2,岸和田,34゜28',135゜22',95.0,-,-,31.39,211.79,16.70,227.38,25.95,203.69,19.84,180.56,-,
107,IO,泉大津,34゜31',135゜24',95.0,-,-,30.36,213.62,17.31,226.36,25.89,203.09,19.15,180.92,-,
108,SI,堺,34゜36',135゜28',95.0,-,-,30.61,213.73,17.28,228.44,26.34,202.70,19.65,181.20,-,
109,OS,大阪,34゜39',135゜26',95.0,20.1,-74.9,29.36,215.54,16.62,227.47,26.11,203.86,19.65,181.33,2015年,
110,AM,尼崎,34゜42',135゜24',95.0,-,-,29.45,215.60,16.63,228.28,25.95,204.08,19.59,181.92,-,
111,J5,西宮,34゜43',135゜20',95.0,-,-,28.98,220.70,16.77,232.76,25.30,206.31,18.74,182.82,-,
112,KB,神戸,34゜41',135゜11',95.0,19.1,-75.9,27.99,217.23,15.94,228.70,25.87,204.47,19.52,181.85,2015年,
113,AK,明石,34゜39',134゜59',70.0,-,-,14.81,258.96,8.56,240.41,25.33,216.15,19.26,193.94,-,
114,ST,洲本,34゜21',134゜54',95.0,16.0,-79.0,28.87,193.35,16.32,213.99,23.66,204.16,18.08,181.95,2015年,
115,EI,江井,34゜28',134゜50',80.0,-,-,29.61,335.14,6.07,339.77,27.60,228.96,20.49,204.27,-,
116,K1,姫路（飾磨）,34゜47',134゜40',90.0,-,-,33.25,321.58,8.21,325.56,28.02,225.32,20.87,200.57,-,
117,UN,宇野,34゜29',133゜57',140.0,21.1,-118.9,68.81,326.22,22.35,351.85,30.73,232.09,22.57,207.48,2015年,
118,MM,水島,34゜32',133゜44',190.0,-,-,101.54,326.44,36.57,359.45,32.71,234.65,23.70,210.17,-,
119,IZ,糸崎,34゜24',133゜05',200.0,-,-,105.81,310.12,39.36,343.09,31.47,230.12,22.59,206.30,-,
120,TH,竹原,34゜20',132゜55',200.0,-,-,105.78,295.73,41.83,326.23,32.11,222.84,23.59,200.28,-,
121,Q9,呉,34゜14',132゜33',200.0,19.7,-180.3,103.39,278.85,42.90,308.91,31.32,216.89,22.97,194.35,-,
122,Q8,広島,34゜21',132゜28',200.0,21.0,-179.0,102.00,277.98,42.27,308.10,31.12,216.69,22.83,194.11,-,
123,QA,徳山,34゜02',131゜48',180.0,17.8,-162.2,88.16,252.13,37.66,281.30,28.48,207.61,21.13,186.00,-,
124,J9,三田尻,34゜02',131゜35',180.0,-,-,89.72,251.49,38.58,280.93,28.73,207.73,21.58,186.23,-,
125,WH,宇部,33゜56',131゜15',210.0,-,-,104.60,254.08,45.69,283.90,30.10,209.05,22.65,187.43,-,
126,CF,長府,34゜01',131゜00',210.0,-,-,107.91,257.35,47.51,287.04,29.94,211.28,22.56,189.51,-,
127,A1,弟子待,33゜56',130゜56',120.0,-,-,58.38,264.43,26.64,293.99,15.02,244.37,13.49,230.73,-,＊３
128,TI,田ノ首,33゜55',130゜55',100.0,-,-,43.12,269.19,20.38,298.58,12.87,267.85,13.22,250.59,-,
129,OH,大山の鼻,33゜55',130゜54',90.0,-,-,42.01,271.67,19.88,300.22,12.53,271.11,12.92,253.54,-,
130,HR,南風泊,33゜57',130゜53',80.0,-,-,35.54,282.98,17.24,308.42,12.04,284.87,12.51,264.44,-,
131,MT,松山,33゜52',132゜43',190.0,15.6,-174.4,99.94,264.00,41.32,292.47,30.88,208.07,22.70,186.20,2015年,
132,M3,波止浜,34゜06',132゜56',200.0,-,-,110.27,297.34,43.64,328.58,32.52,222.59,23.97,200.66,-,
133,M0,今治市小島,34゜08',132゜59',200.0,-,-,108.39,297.05,42.23,327.69,32.78,225.17,24.59,204.30,-,＊５
134,M1,来島航路,34゜07',132゜59',200.0,-,-,101.80,304.12,38.50,335.76,32.45,230.43,24.45,211.03,-,＊６
135,L0,今治,34゜04',133゜00',200.0,-,-,99.71,313.35,37.17,347.00,31.67,233.95,22.91,211.23,-,
136,NI,新居浜,33゜58',133゜16',200.0,-,-,110.72,319.46,41.30,354.00,32.70,235.84,23.78,212.85,-,
137,L8,伊予三島,33゜59',133゜33',210.0,-,-,116.61,323.16,42.87,357.47,33.20,236.28,24.55,212.27,-,
138,TX,多度津,34゜17',133゜45',190.0,-,-,107.60,327.44,39.23,1.10,32.88,236.02,24.21,212.07,-,
139,AX,青木,34゜22',133゜41',200.0,-,-,108.11,326.20,39.68,359.94,32.86,235.91,24.23,211.95,-,
140,J8,与島,34゜23',133゜49',180.0,-,-,90.32,325.28,31.43,356.22,32.30,233.40,23.96,209.39,-,
141,TA,高松,34゜21',134゜03',140.0,15.2,-124.8,66.45,325.23,20.97,348.70,31.05,229.92,22.81,205.27,2015年,
142,KM,小松島,34゜01',134゜35',101.0,14.4,-86.6,41.63,179.42,20.15,203.43,22.30,194.35,17.23,173.33,2015年,
143,J6,橘,33゜52',134゜38',110.0,-,-,44.30,173.71,21.03,199.21,22.26,192.31,16.88,171.49,-,
144,AW,阿波由岐,33゜46',134゜36',106.0,13.8,-92.2,47.02,171.53,21.21,196.00,20.97,189.12,16.46,169.22,2015年,
145,HW,日和佐,33゜43',134゜33',108.0,-,-,48.05,172.90,22.24,198.18,19.32,184.49,15.98,170.08,-,
146,L7,甲浦,33゜33',134゜18',109.0,-,-,47.92,170.48,21.29,195.47,21.14,186.81,16.39,167.01,-,
147,MU,室戸岬,33゜16',134゜10',110.0,22.3,-87.7,49.39,173.18,21.84,197.71,22.14,188.59,16.98,168.55,2015年,
148,KC,高知,33゜30',133゜34',108.0,16.0,-92.0,49.39,173.41,21.93,197.63,21.83,189.68,16.81,169.78,2015年,
149,V7,須崎,33゜23',133゜18',112.0,-,-,49.49,171.93,21.92,196.46,21.53,189.10,16.78,169.10,-,
150,ZH,久礼,33゜20',133゜15',111.0,11.8,-99.2,49.87,172.22,21.99,196.62,21.62,189.00,16.70,169.06,-,
151,L6,高知下田,32゜56',133゜00',108.0,-,-,49.46,174.54,21.42,198.69,21.32,189.82,16.23,169.77,-,
152,TS,土佐清水,32゜47',132゜58',112.0,21.4,-90.6,51.60,174.33,22.76,198.56,22.19,189.04,17.12,169.14,2015年,
153,SU,片島,32゜55',132゜42',117.0,-,-,53.4,179.0,22.9,204.4,21.5,190.0,17.3,171.0,-,
154,UW,宇和島,33゜14',132゜33',130.0,15.0,-115.0,57.51,209.59,24.50,234.49,24.83,195.48,18.83,174.84,2015年,
155,N1,日明,33゜55',130゜53',80.0,-,-,36.57,275.49,17.79,302.44,11.37,281.06,11.90,262.25,-,
156,N0,砂津,33゜54',130゜53',90.0,-,-,40.68,272.83,19.65,300.35,10.83,271.52,10.93,256.02,-,
157,MO,門司,33゜57',130゜58',130.0,-,-,67.54,259.31,30.32,289.28,16.43,232.58,13.79,219.13,-,
158,AH,青浜,33゜57',131゜01',210.0,-,-,106.65,256.58,46.91,286.37,29.70,210.97,22.41,189.29,-,
159,O3,苅田,33゜48',131゜00',210.0,-,-,105.57,256.08,46.27,285.86,29.70,210.09,22.36,188.41,-,
160,BP,別府,33゜18',131゜30',130.0,-,-,58.65,241.45,24.46,269.99,25.64,205.89,19.42,184.11,-,
161,QC,大分,33゜16',131゜41',130.0,15.7,-114.3,58.43,243.57,24.18,271.78,25.73,206.66,19.40,185.10,-,
162,X5,佐伯,32゜57',131゜58',105.0,15.3,-89.7,44.05,202.73,19.16,226.67,22.94,198.56,17.88,177.90,2015年,
163,Z6,細島,32゜26',131゜40',106.0,16.3,-89.7,51.88,176.05,22.35,200.14,20.79,189.34,16.10,169.68,-,
164,MG,宮崎,31゜54',131゜27',113.0,-,-,52.01,172.54,22.84,197.64,22.00,186.87,16.66,167.77,-,
165,AB,油津,31゜35',131゜25',116.0,18.2,-97.8,52.45,174.08,22.99,198.52,22.73,191.12,17.69,170.31,2015年,
166,X6,志布志,31゜29',131゜07',116.0,-,-,55.88,177.02,24.40,201.63,22.46,191.93,17.55,171.66,-,
167,QG,大泊,31゜01',130゜41',142.0,17.7,-124.3,68.87,192.82,30.12,218.27,25.13,195.30,19.61,175.30,-,
168,KG,鹿児島,31゜35',130゜34',155.0,23.6,-131.4,76.96,204.55,33.82,230.41,25.25,201.18,19.65,180.96,2015年,＊４
169,MK,枕崎,31゜16',130゜18',150.0,22.3,-127.7,69.80,204.51,30.57,230.10,24.63,199.86,19.11,179.82,2015年,
170,ZJ,阿久根,32゜01',130゜11',160.0,23.9,-136.1,78.79,220.86,34.88,246.96,25.52,205.82,19.92,186.08,-,
171,QH,西之表,30゜44',131゜00',120.0,5.8,-114.2,58.87,194.73,25.79,219.97,23.01,199.26,17.98,179.58,-,
172,TJ,種子島,30゜28',130゜58',120.0,-1.9,-121.9,54.86,177.12,23.90,203.39,21.59,190.48,16.42,171.89,2015年,
173,QI,中之島,29゜51',129゜51',125.0,5.2,-119.8,58.66,195.97,25.47,221.25,23.34,198.57,18.01,178.69,-,
174,QJ,名瀬,28゜23',129゜30',115.0,5.2,-109.8,56.12,197.04,24.44,222.67,20.07,204.14,15.23,185.87,-,
175,O9,奄美,28゜19',129゜32',119.0,2.9,-116.1,55.59,182.72,23.25,207.66,22.04,195.85,16.73,174.69,2015年,
176,NK,中城湾港,26゜20',127゜50',120.0,-,-,56.59,185.64,23.47,209.95,21.64,202.80,16.23,183.55,-,
177,ZO,沖縄,26゜11',127゜49',120.0,3.5,-116.5,56.09,185.22,23.31,209.43,21.61,202.78,16.23,183.53,-,
178,NH,那覇,26゜13',127゜40',118.0,4.8,-113.2,57.46,198.16,24.24,222.46,20.82,210.34,15.86,190.93,2015年,
179,DJ,南大東,25゜52',131゜14',98.0,29.5,-68.5,52.09,188.36,22.13,213.70,19.00,200.76,14.84,183.19,2015年,
180,R1,平良,24゜49',125゜17',103.0,-,-,48.25,198.75,20.78,220.73,18.73,216.76,15.75,199.24,-,
181,IS,石垣,24゜20',124゜10',107.0,13.7,-93.3,44.24,193.52,19.49,216.23,19.81,221.35,16.93,199.36,2015年,
182,IJ,西表,24゜21',123゜45',103.0,-,-,50.20,204.60,14.60,219.00,19.10,217.20,18.70,200.20,-,
183,YJ,与那国,24゜27',122゜57',100.0,2.6,-97.4,44.36,192.50,19.00,215.05,20.09,219.90,16.66,196.87,2015年,
184,O7,水俣,32゜12',130゜22',195.0,-,-,100.59,247.55,43.78,280.72,26.69,217.26,20.91,197.37,-,
185,O5,八代,32゜31',130゜34',215.0,-,-,112.03,249.09,49.22,282.80,27.07,218.20,21.12,197.94,-,
186,HS,本渡瀬戸,32゜26',130゜13',205.0,-,-,100.70,246.74,43.86,279.96,26.50,216.48,20.70,196.25,-,
187,RH,苓北,32゜28',130゜02',166.0,20.6,-145.4,82.31,224.97,36.93,251.14,25.47,205.72,19.74,186.09,2015年,
188,MS,三角,32゜37',130゜27',221.0,-,-,118.92,250.36,52.13,284.10,27.29,217.48,21.00,197.46,-,
189,KU,熊本,32゜45',130゜34',245.0,-,-,131.65,253.46,58.24,287.80,28.08,217.90,21.69,197.57,-,
190,O6,大牟田,33゜01',130゜25',265.0,-,-,148.75,255.03,66.12,289.52,28.59,218.06,21.85,198.08,-,
191,OU,大浦,32゜59',130゜13',268.0,25.2,-242.8,150.61,256.79,67.12,291.50,28.85,219.21,22.07,198.89,2015年,
192,KT,口之津,32゜36',130゜12',194.0,22.1,-171.9,99.53,248.09,42.73,280.82,26.66,215.77,20.83,195.92,2015年,
193,NS,長崎,32゜44',129゜52',164.0,24.4,-139.6,81.43,229.14,36.33,254.77,25.62,207.54,19.88,187.54,2015年,
194,KO,皇后,32゜43',129゜50',164.0,-,-,81.05,229.11,36.31,254.98,25.62,207.87,19.99,187.61,-,
195,FE,福江,32゜42',128゜51',159.0,6.3,-152.7,76.37,230.94,34.46,256.49,24.42,206.99,18.93,187.40,2015年,
196,QD,佐世保,33゜09',129゜43',165.0,24.4,-140.6,82.32,240.38,37.02,265.73,24.46,214.08,19.19,194.47,-,
197,X2,平戸瀬戸,33゜22',129゜35',155.0,-,-,76.72,248.41,35.16,273.74,22.26,221.82,17.87,202.77,-,
198,ZL,仮屋,33゜28',129゜51',127.0,21.7,-105.3,64.71,267.95,30.40,292.26,18.18,243.88,15.75,226.28,-,
199,KA,唐津,33゜28',129゜58',118.0,-,-,56.29,272.15,26.78,296.43,16.00,255.53,14.62,237.82,-,
200,QF,博多,33゜37',130゜24',110.0,24.2,-85.8,50.92,278.94,24.27,302.96,14.81,266.41,13.99,248.12,-,
201,X3,郷ノ浦,33゜45',129゜41',127.0,-,-,61.48,263.88,29.04,288.96,15.44,239.88,13.52,223.96,-,
202,QE,厳原,34゜12',129゜18',93.0,5.5,-87.5,51.68,252.78,24.47,278.66,8.38,207.14,6.09,200.19,-,
203,O1,対馬,34゜16',129゜19',88.0,-,-,49.29,252.60,23.40,278.40,7.64,208.11,5.46,204.15,-,
204,N5,対馬比田勝,34゜39',129゜29',58.0,6.3,-51.7,32.11,253.16,15.85,278.61,3.11,245.35,3.70,251.97,2015年,
205,K5,萩,34゜26',131゜25',48.0,-,-,15.56,315.96,7.82,335.17,9.67,326.64,11.09,301.22,-,
206,ZK,須佐,34゜38',131゜36',40.0,23.3,-16.7,12.38,328.47,6.29,345.08,9.09,337.35,10.51,310.09,-,
207,HA,浜田,34゜54',132゜04',29.0,24.9,-4.1,7.91,352.87,3.90,3.49,7.20,352.43,8.75,325.79,2015年,
208,SK,境,35゜33',133゜15',17.0,29.0,12.0,5.61,66.84,2.10,81.27,4.85,343.01,4.58,311.45,2015年,
209,SA,西郷,36゜12',133゜20',17.0,9.7,-7.3,5.83,63.23,2.05,78.57,5.07,347.57,5.60,323.78,2015年,
