番号,地点記号,掲載地点名,緯度,経度,MSL潮位表基準面,MSL標高,潮位表基準面標高,M2振幅,M2遅角,S2振幅,S2遅角,K1振幅,K1角度,O1振幅,O1遅角,分潮一覧表,備考
210,T1,金沢,36゜37',136゜36',20.0,-,-,5.76,75.89,2.01,98.76,5.25,343.80,5.28,318.51,-,
211,Z7,輪島,37゜24',136゜54',20.0,20.3,0.3,5.98,79.18,2.12,103.64,5.51,345.26,5.50,319.77,-,
212,SZ,能登,37゜30',137゜09',20.0,22.1,2.1,5.90,80.09,2.17,106.51,5.50,345.35,5.47,319.98,2011年,
213,XO,七尾,37゜03',136゜58',20.0,-,-,6.37,82.21,2.27,109.98,5.49,347.07,5.54,320.97,-,
214,XQ,伏木富山,36゜48',137゜04',20.0,-,-,6.17,81.35,2.19,108.13,5.42,345.71,5.28,320.41,-,
215,SN,新湊,36゜47',137゜07',20.0,-,-,6.03,81.12,2.17,108.21,5.25,345.82,5.16,321.06,-,
216,TY,富山,36゜46',137゜13',22.0,25.1,3.1,6.04,81.25,2.16,108.16,5.34,345.51,5.29,319.63,2011年,
217,T3,直江津,37゜11',138゜15',19.0,-,-,5.89,81.82,2.10,111.09,5.31,345.33,5.33,320.28,-,
218,ZC,柏崎,37゜21',138゜31',21.0,24.2,3.2,5.74,85.44,2.11,114.27,5.36,346.45,5.37,322.66,-,
219,S6,新潟西港,37゜56',139゜04',17.0,-,-,5.61,87.82,2.05,118.40,5.29,348.65,5.37,323.44,-,
220,I5,新潟東港,37゜59',139゜13',17.0,-,-,5.90,88.82,2.25,122.98,5.51,349.52,5.44,323.46,-,
221,ZN,小木,37゜49',138゜17',19.0,7.1,-11.9,5.70,86.01,2.06,114.88,5.35,347.53,5.41,322.57,-,
222,RZ,両津,38゜05',138゜26',18.0,-,-,5.68,87.49,2.02,118.33,5.37,347.84,5.39,322.76,-,
223,S0,佐渡,38゜19',138゜31',18.0,4.5,-13.5,5.68,87.20,2.11,118.78,5.36,347.30,5.50,323.16,2011年,
224,QR,粟島,38゜28',139゜15',20.0,8.2,-11.8,5.49,89.05,2.04,120.85,5.23,348.68,5.32,323.49,-,
225,ZB,鼠ヶ関,38゜34',139゜33',20.0,26.0,6.0,5.34,92.19,2.00,125.15,5.22,350.61,5.26,324.97,-,
226,S9,酒田,38゜55',139゜49',21.0,-,-,5.42,93.16,2.07,126.59,5.39,350.37,5.40,324.77,-,
227,ZQ,飛島,39゜11',139゜33',19.0,2.0,-17.0,5.42,93.38,2.05,126.12,5.36,349.78,5.43,325.38,-,
228,S1,秋田,39゜45',140゜04',19.0,-,-,5.31,96.30,2.12,129.93,5.38,351.08,5.39,326.57,-,
229,S2,船川港,39゜55',139゜51',18.0,-,-,5.45,95.59,2.07,135.24,5.38,348.43,5.41,325.57,-,
230,ZI,男鹿,39゜57',139゜42',18.0,23.0,5.0,5.22,100.34,2.05,135.66,5.45,353.10,5.37,328.78,-,
231,FK,深浦,40゜39',139゜56',18.0,27.8,9.8,5.13,97.80,2.05,132.65,5.31,352.89,5.29,327.63,2011年,
