name,vmag,ra_deg,dec_deg,bv_color
HIP 37096, 4.53,114.34216663,-34.96857044,-0.081
HIP 87072, 4.53,266.89011276,-27.83076255, 0.600
HIP 85365, 4.53,261.65806271,-5.08649188, 0.385
HIP 28413, 4.53,90.01393918,-3.07407681, 1.202
HIP 102589, 4.53,311.85219564,36.49073658,-0.083
HIP 3881, 4.53,12.45345723,41.07895474,-0.136
HIP 114570, 4.53,348.13717883,49.40597489, 0.302
HIP 69483, 4.53,213.37062458,51.78999066, 0.233
HIP 75304, 4.54,230.78901374,-36.85843627,-0.155
HIP 98162, 4.54,299.23677038,-27.1698625, 1.462
HIP 31416, 4.54,98.76408302,-22.96483318,-0.035
HIP 74392, 4.54,228.05546736,-19.79163143,-0.071
HIP 46776, 4.54,142.99556148,-1.18465438, 0.109
HIP 114144, 4.54,346.75106602,9.40952259, 1.559
HIP 115919, 4.54,352.28858456,12.76049243, 0.939
HIP 72659, 4.54,222.84701756,19.10063329, 0.720
HIP 24727, 4.54,79.54395049,33.37200411, 1.252
HIP 46952, 4.54,143.5557374,36.39761338, 0.914
HIP 46977, 4.54,143.62069943,69.83015419, 0.781
HIP 76371, 4.55,233.97193752,-44.95833688,-0.175
HIP 23595, 4.55,76.10129897,-35.48287057, 1.177
HIP 88839, 4.55,272.02067917,-28.45701627, 0.938
HIP 80079, 4.55,245.15909758,-24.16928427, 0.758
HIP 301, 4.55,0.93488487,-17.33597002,-0.047
HIP 36425, 4.55,112.44909205,12.00661101, 1.276
HIP 110351, 4.55,335.25636792,46.53656484,-0.1
HIP 110609, 4.55,336.1291488,49.47640074, 0.092
HIP 48402, 4.55,148.02650069,54.06428574, 0.038
HIP 16281, 4.55,52.47810837,58.87875244, 0.489
HIP 107119, 4.55,325.47948373,71.31118695, 1.108
HIP 33694, 4.55,105.0160332,76.97744152, 1.365
HIP 18597, 4.56,59.68640623,-61.40015059, 1.590
HIP 86092, 4.56,263.91504719,-46.50559076,-0.02
HIP 70574, 4.56,216.53431272,-45.22138996,-0.147
HIP 54951, 4.56,168.80101292,23.09552528, 1.657
HIP 103004, 4.56,313.0321898,27.09712771, 0.835
HIP 27830, 4.56,88.33184814,27.61228536,-0.008
HIP 13328, 4.56,42.87846216,35.05989415, 1.554
HIP 44700, 4.56,136.63245022,38.45225024, 1.037
HIP 104194, 4.56,316.65036722,47.64840597, 1.569
HIP 94005, 4.57,287.08722077,-40.4966376, 1.070
HIP 16870, 4.57,54.2736588,-40.27451075, 1.023
HIP 80473, 4.57,246.39633811,-23.44711764, 0.227
HIP 80463, 4.57,246.35387324,14.03341514, 0.002
HIP 92818, 4.57,283.68700483,22.64507357, 0.782
HIP 97886, 4.57,298.36533677,24.07952568,-0.047
HIP 86614, 4.57,265.4846127,72.14949916, 0.434
HIP 52468, 4.58,160.88461543,-60.56662705, 1.700
HIP 64425, 4.58,198.07345539,-59.92053651,-0.073
HIP 48374, 4.58,147.91953494,-46.54764424, 1.172
HIP 79404, 4.58,243.07588221,-27.92631564,-0.172
HIP 86284, 4.58,264.46133236,-8.11872126, 0.132
HIP 26237, 4.58,83.84650694,-4.83834045,-0.183
HIP 115250, 4.58,350.1592632,23.7403592, 0.180
HIP 67627, 4.58,207.85807331,64.72328281, 1.572
HIP 54751, 4.59,168.15008453,-60.3176307, 0.541
HIP 50555, 4.59,154.90318833,-55.02931452, 1.600
