name,vmag,ra_deg,dec_deg,bv_color
HIP 84143, 3.32,258.038233,-43.23849039, 0.441
HIP 93864, 3.32,286.73517629,-27.66981416, 1.169
HIP 88048, 3.32,269.75665662,-9.77334973, 0.987
HIP 14354, 3.32,46.29373754,38.84053298, 1.528
HIP 59774, 3.32,183.85603795,57.03259792, 0.077
HIP 19780, 3.33,63.60596306,-62.47397888, 0.915
HIP 54879, 3.33,168.56017036,15.4297631,-0.003
HIP 38170, 3.34,117.32357809,-24.85978401, 1.218
HIP 25281, 3.35,81.11923774,-2.39713844,-0.24
HIP 32362, 3.35,101.3226398,12.89605513, 0.443
HIP 41704, 3.35,127.56679232,60.7184311, 0.856
HIP 8886, 3.35,28.59868107,63.67014686,-0.15
HIP 95501, 3.36,291.37396941,3.11457923, 0.319
HIP 75264, 3.37,230.67036465,-44.68957314,-0.191
HIP 66249, 3.38,203.673978,-0.59593821, 0.114
HIP 43109, 3.38,131.6943593,6.41890691, 0.685
HIP 50371, 3.39,154.27085535,-61.33231977, 1.541
HIP 63090, 3.39,193.90201366,3.39759862, 1.571
HIP 26207, 3.39,83.78449043,9.93416294,-0.16
HIP 109492, 3.39,332.71359131,58.20124992, 1.558
HIP 20894, 3.40,67.16531219,15.8709468, 0.179
HIP 74395, 3.41,228.07167982,-52.09907465, 0.918
HIP 6867, 3.41,22.0914236,-43.31772906, 1.542
HIP 67464, 3.41,207.3762392,-41.68765971,-0.225
HIP 112029, 3.41,340.36531181,10.83139111,-0.086
HIP 18724, 3.41,60.17008591,12.49037571,-0.099
HIP 102422, 3.41,311.32195263,61.83679404, 0.912
HIP 102395, 3.42,311.2398153,-66.20323826, 0.163
HIP 78384, 3.42,240.03058543,-38.39664079,-0.206
HIP 86974, 3.42,266.61549553,27.72249917, 0.750
HIP 8796, 3.42,28.27041595,29.57939727, 0.488
HIP 45080, 3.43,137.74210535,-58.96693014,-0.19
HIP 93805, 3.43,286.56229139,-4.88233456,-0.096
HIP 50335, 3.43,154.17251805,23.4173284, 0.307
HIP 50372, 3.45,154.27469564,42.91446855, 0.029
HIP 38827, 3.46,119.19475729,-52.98240062,-0.177
HIP 5364, 3.46,17.14693197,-10.181928, 1.161
HIP 74666, 3.46,228.87543241,33.31510222, 0.961
HIP 3821, 3.46,12.27125262,57.8165477, 0.587
HIP 67472, 3.47,207.40419934,-42.47368506,-0.17
HIP 12706, 3.47,40.82551897,3.23617162, 0.093
HIP 49583, 3.48,151.83313948,16.76266572,-0.031
HIP 81833, 3.48,250.72391068,38.92246103, 0.916
HIP 112623, 3.49,342.13832136,-51.31670354, 0.083
HIP 90422, 3.49,276.74345947,-45.96832919,-0.179
HIP 33856, 3.49,105.42979876,-27.93484165, 1.729
HIP 8102, 3.49,26.02136441,-15.93955597, 0.727
HIP 55219, 3.49,169.61981385,33.09423881, 1.400
HIP 73555, 3.49,225.48663804,40.39063671, 0.956
HIP 32759, 3.50,102.46027285,-32.50848752,-0.116
HIP 35550, 3.50,110.0307889,21.98233941, 0.374
HIP 112724, 3.50,342.42046735,66.20071089, 1.053
HIP 98337, 3.51,299.68911516,19.49209287, 1.571
HIP 112748, 3.51,342.5004181,24.60168486, 0.933
HIP 48774, 3.52,149.2156452,-54.5677973,-0.067
HIP 93085, 3.52,284.43241556,-21.10662433, 1.151
HIP 17378, 3.52,55.81231706,-9.76519868, 0.915
HIP 109427, 3.52,332.54924902,6.197789, 0.086
HIP 47508, 3.52,145.28799116,9.89239902, 0.516
HIP 92420, 3.52,282.51997462,33.36267788, 0.003
HIP 40526, 3.53,124.12895101,9.18566295, 1.481
HIP 20889, 3.53,67.15388879,19.18052092, 1.014
HIP 56343, 3.54,173.25107936,-31.85752405, 0.947
HIP 86263, 3.54,264.39677181,-15.39840835, 0.262
HIP 77516, 3.54,237.40527375,-3.43014112,-0.036
HIP 99240, 3.55,302.17441713,-66.17932101, 0.751
HIP 69996, 3.55,214.85096972,-46.05808391,-0.184
HIP 20042, 3.55,64.47341068,-33.79833145,-0.108
HIP 27288, 3.55,86.73895728,-14.82194717, 0.104
HIP 89937, 3.55,275.25974572,72.73369763, 0.489
HIP 10602, 3.56,34.12708452,-51.51211145,-0.12
HIP 82545, 3.56,253.08397295,-38.01747781,-0.21
HIP 55282, 3.56,169.83551103,-14.77904358, 1.112
