name,ra,dec,e_bv
Collinder 428,315.8,44.5833,0.1
ASCC 43,118.275,-28.17,0.1
ASCC 66,168.4042,-55.42,0.1
ASCC 2,4.9667,55.71,0.1
ASCC 122,338.3083,39.61,0.1
ASCC 91,267.225,-37.36,0.1
ASCC 127,347.1,64.85,0.1
ASCC 123,340.65,54.26,0.1
Stock 4,28.2,57.0667,0.1
Dolidze 23,100.7292,0.0461,0.1
Haffner 23,107.35,-16.95,0.1
Ruprecht 131,267.3167,-29.25,0.1
Aveni Hunter 1,354.4458,48.56,0.1
Ruprecht 20,111.6792,-28.8167,0.1
NGC 7084,323.1375,17.5083,0.1
NGC 6832,297.0625,59.4217,0.1
Alessi Teutsch 8,180.7292,-60.925,0.1
Platais 3,70.4042,71.2367,0.1
ESO 282 26,288.4667,-42.6483,0.1
NGC 2506,120.0042,-10.77,0.1
Turner 5,143.4625,-36.615,0.1
Collinder 292,237.5333,-57.6167,0.1
Alessi Teutsch 3,118.2542,-53.045,0.1
Alessi Teutsch 7,127.9333,-39.1317,0.1
Alessi 24,261.0042,-62.8633,0.1
Ruprecht 125,262.4083,-40.4667,0.1
NGC 2353,108.625,-10.2667,0.1
SBB 4,335.85,56.6075,0.1
ASCC 60,158.2792,-58.48,0.1
NGC 2437,115.4417,-14.81,0.1
ESO 311 14,117.35,-42.705,0.1
ASCC 119,334.8,46.9,0.1
Loden 143,157.225,-58.7833,0.1
Loden 1,151.2625,-55.8,0.1
Ruprecht 167,214.5458,-58.9667,0.1
NGC 2252,98.675,5.3667,0.1
NGC 2362,109.6708,-24.955,0.1
Ruprecht 84,147.2833,-65.25,0.1
NGC 7036,317.5083,15.5167,0.1
NGC 2516,119.5167,-60.7533,0.101
NGC 5822,226.0875,-54.3967,0.103
NGC 6475,268.4625,-34.7933,0.103
ESO 043 13,256.125,-74.3583,0.104
ESO 447 29,219.3625,-29.4117,0.104
ESO 229 02,269.8958,-51.685,0.104
ESO 092 05,150.8083,-64.7533,0.104
Ruprecht 50,120.8625,-30.8667,0.104
NGC 1641,68.8833,-65.75,0.104
ESO 026 02,306.6583,-80.0033,0.104
ESO 137 23,246.1125,-61.7417,0.104
Haffner 21,120.2875,-27.2167,0.106
Bochum 9,158.9417,-60.1167,0.11
ASCC 56,152.0542,-64.37,0.11
Berkeley 25,100.25,-16.5167,0.11
Ruprecht 53,122.725,-26,0.11
NGC 6400,265.05,-36.9483,0.11
ASCC 40,113.4,-13.76,0.11
Collinder 333,262.8792,-34.0167,0.11
Alessi 3,109.1208,-46.685,0.11
NGC 1557,63.2958,-70.4717,0.11
Ruprecht 164,172.7125,-60.7333,0.11
Berkeley 73,95.5,-6.35,0.11
Melotte 71,114.375,-12.0667,0.113
FSR 0929,96.3833,17.72,0.115
Ruprecht 33,116.4917,-21.95,0.115
IC 4651,261.2042,-49.9333,0.116
NGC 2343,107.025,-10.6167,0.118
Ruprecht 171,278.0458,-16.0497,0.12
ESO 130 06,181.9417,-59.3,0.12
Collinder 106,99.275,5.95,0.12
NGC 2627,129.3125,-29.955,0.12
Berkeley 20,83.1542,0.1883,0.12
NGC 6444,267.3958,-34.82,0.12
Collinder 69,83.775,9.9333,0.12
Berkeley 39,116.675,-4.6,0.12
Ruprecht 56,123.1375,-40.4667,0.12
Berkeley 77,110.3625,-3.2336,0.12
NGC 2395,111.8,13.6083,0.12
Alessi Teutsch 12,255.4458,-58.9583,0.12
NGC 2818,139.0042,-36.625,0.121
ESO 427 32,106.5583,-30.1667,0.125
Skiff J1942+38.6,295.6,38.65,0.125
Ruprecht 117,245.8833,-51.8833,0.125
NGC 2567,124.6333,-30.64,0.128
IC 1434,332.6417,52.8278,0.13
Berkeley 98,340.6583,52.3878,0.13
NGC 3909,177.4542,-48.2517,0.13
NGC 6938,308.675,22.215,0.13
AH03 J0822 36.4,125.55,-36.4,0.13
NGC 2348,105.7625,-67.4117,0.13
ASCC 128,350.1458,54.6,0.13
ESO 123 26,118.125,-60.33,0.13
Haffner 7,110.7292,-29.5,0.13
Ruprecht 54,122.8375,-31.9472,0.13
Ruprecht 41,118.45,-26.9611,0.13
