Date,Open,High,Low,Close,Volume
2023-05-26,4156.16,4212.87,4156.16,4205.45,2591254017
2023-05-30,4226.71,4231.1,4192.18,4205.52,2568042721
2023-05-31,4190.74,4195.44,4166.15,4179.83,4396247534
2023-06-01,4183.03,4232.43,4171.64,4221.02,2593535081
2023-06-02,4241.01,4290.67,4241.01,4282.37,2727572445
2023-06-05,4282.99,4299.28,4266.82,4273.79,2188378526
2023-06-06,4271.34,4288.33,4263.09,4283.85,2246423347
2023-06-07,4285.47,4299.19,4263.96,4267.52,2720308985
2023-06-08,4268.69,4298.01,4261.07,4293.93,2225615199
2023-06-09,4304.88,4322.62,4291.7,4298.86,2136702819
2023-06-12,4308.32,4340.13,4304.37,4338.93,2453364699
2023-06-13,4352.61,4375.37,4349.31,4369.01,2543848564
2023-06-14,4366.29,4391.82,4337.85,4372.59,2632647795
2023-06-15,4365.33,4439.2,4362.6,4425.84,2574876443
2023-06-16,4440.95,4448.47,4407.44,4409.59,4185054291
2023-06-20,4396.11,4400.15,4367.19,4388.71,2438264940
2023-06-21,4380.01,4386.22,4360.14,4365.69,2342110707
2023-06-22,4355.4,4382.25,4351.82,4381.89,2101340593
2023-06-23,4354.17,4366.55,4341.34,4348.33,3062977301
2023-06-26,4344.84,4362.06,4328.08,4328.82,2249250625
2023-06-27,4337.36,4384.42,4335.0,4378.41,2289549269
2023-06-28,4367.48,4390.35,4360.22,4376.86,2283456075
2023-06-29,4374.94,4398.39,4371.97,4396.44,2158939109
2023-06-30,4422.44,4458.48,4422.44,4450.38,2491966612
2023-07-03,4450.48,4456.46,4442.29,4455.59,1236150700
2023-07-05,4442.04,4454.06,4436.61,4446.82,2115015525
2023-07-06,4422.62,4422.62,4385.05,4411.59,2224381526
2023-07-07,4404.54,4440.39,4397.4,4398.95,2111125773
2023-07-10,4394.23,4412.6,4389.92,4409.53,2168941075
2023-07-11,4415.55,4443.64,4408.46,4439.26,2129927844
2023-07-12,4467.69,4488.34,4463.23,4472.16,2330249912
2023-07-13,4491.5,4517.38,4489.36,4510.04,2254150794
2023-07-14,4514.61,4527.76,4499.56,4505.42,2379047405
2023-07-17,4508.86,4532.85,4504.9,4522.79,2359710601
2023-07-18,4521.78,4562.3,4514.59,4554.98,2538849602
2023-07-19,4563.87,4578.43,4557.48,4565.72,2597461645
2023-07-20,4554.38,4564.74,4527.56,4534.87,2595426819
2023-07-21,4550.16,4555.0,4535.79,4536.34,3277670172
2023-07-24,4543.39,4563.41,4541.29,4554.64,2156130111
2023-07-25,4555.19,4580.62,4552.42,4567.46,2305628861
2023-07-26,4558.96,4582.47,4547.58,4566.75,2320509101
2023-07-27,4598.26,4607.07,4528.56,4537.41,2680598316
2023-07-28,4565.75,4590.16,4564.01,4582.23,2363048132
2023-07-31,4584.82,4594.22,4573.14,4588.96,2415231060
2023-08-01,4578.83,4584.62,4567.53,4576.73,2179828757
2023-08-02,4550.93,4550.93,4505.75,4513.39,2467424038
2023-08-03,4494.27,4519.49,4485.54,4501.89,2363725888
2023-08-04,4513.96,4540.34,4474.55,4478.03,2411632698
2023-08-07,4491.58,4519.84,4491.15,4518.44,2051647102
2023-08-08,4498.03,4503.31,4464.39,4499.38,2169756994
2023-08-09,4501.57,4502.44,4461.33,4467.71,2058789858
2023-08-10,4487.16,4527.37,4457.92,4468.83,2116254445
2023-08-11,4450.69,4476.23,4443.98,4464.05,1849920370
