2020/05/27 00:24:11 UTC
Country,Total deaths,Td,Deaths/Mil.
North America,Martinique,14,188.734,37.310
North America,Guadeloupe,14,127.755,34.957
Africa,Togo,13,33.310,1.563
Africa,Mauritania,13,6.779,2.813
Africa,EquatorialGuinea,12,20.693,8.583
Asia,Georgia,12,139.627,3.000
Africa,SaoTomeandPrincipe,12,8.609,54.857
South America,Paraguay,11,86.202,1.543
South America,Venezuela,11,7.213,0.391
South America,Guyana,11,45.705,14.007
North America,Bahamas,11,118.858,28.050
Europe,Iceland,10,4374.105,29.324
Asia,SriLanka,10,19.092,0.470
North America,CostaRica,10,60.224,1.967
Africa,Mauritius,10,807.861,7.874
Asia,Jordan,9,48.022,0.877
North America,Jamaica,9,72.484,3.043
North America,Bermuda,9,45.705,144.453
Africa,SouthSudan,8,4.747,0.715
Africa,Guinea-Bissau,7,38.349,3.565
Africa,Zambia,7,27.664,0.380
Asia,Taiwan,7,2137.318,0.302
North America,Barbados,7,109.153,24.348
Europe,Malta,6,68.131,13.591
Africa,Ethiopia,6,7.435,0.051
Asia,Myanmar,6,74.434,0.117
Asia,Maldives,5,21.133,9.266
Asia,HongKong,4,514.797,0.533
Asia,Nepal,4,7.436,0.140
Africa,CaboVerde,4,31.918,7.200
Europe,Monaco,4,473.069,102.000
Africa,Malawi,4,13.234,0.198
Asia,Syria,4,6.598,0.231
Africa,Angola,4,16.323,0.114
Africa,Zimbabwe,4,24.666,0.286
Asia,Palestine,3,52.313,0.587
Africa,Benin,3,10.323,0.245
Africa,Libya,3,39.036,0.429
North America,SaintMartin,3,191.645,77.700
Africa,Madagascar,2,8.274,0.072
Africa,Eswatini,2,21.376,1.724
