番号,地点記号,掲載地点名,緯度,経度,MSL潮位表基準面,MSL標高,潮位表基準面標高,M2振幅,M2遅角,S2振幅,S2遅角,K1振幅,K1角度,O1振幅,O1遅角,分潮一覧表,備考
151,ZH,久礼,33゜20',133゜15',111.0,11.9,-99.1,49.76,172.61,21.91,196.69,21.65,188.87,16.71,169.10,-,
152,L6,高知下田,32゜56',133゜00',108.0,-,-,49.46,174.54,21.42,198.69,21.32,189.82,16.23,169.77,-,
153,TS,土佐清水,32゜47',132゜58',112.0,25.8,-86.2,51.24,174.35,22.58,198.35,22.17,188.63,17.08,168.73,2024年,
154,SU,片島,32゜55',132゜42',117.0,-,-,53.40,179.00,22.90,204.40,21.50,190.00,17.30,171.00,-,
155,UW,宇和島,33゜14',132゜33',130.0,15.7,-114.3,57.17,209.48,24.44,234.25,24.61,195.05,18.64,174.64,2024年,
156,N1,日明,33゜55',130゜53',80.0,-,-,35.75,276.15,17.39,302.47,11.33,281.62,11.85,262.69,-,
157,N0,砂津,33゜54',130゜53',90.0,-,-,39.89,273.12,19.26,300.23,10.79,271.90,10.74,256.19,-,
158,MO,門司,33゜57',130゜57',130.0,-,-,65.71,259.84,29.74,289.61,16.18,234.38,13.81,221.40,-,
159,AH,青浜,33゜57',131゜01',210.0,-,-,106.36,257.10,47.03,286.12,29.62,210.75,22.18,189.55,-,
160,O3,苅田,33゜48',131゜00',210.0,-,-,105.21,256.16,46.22,285.49,29.45,209.76,21.87,188.49,-,
161,BP,別府,33゜18',131゜30',130.0,-,-,58.52,241.87,24.33,269.84,25.53,205.76,19.18,184.33,-,
162,QC,大分,33゜16',131゜41',130.0,15.9,-114.1,58.30,243.25,24.20,271.34,25.54,206.57,19.21,185.15,-,
163,X5,佐伯,32゜57',131゜58',105.0,13.9,-91.1,44.13,202.79,19.14,226.38,22.95,198.50,17.76,177.87,2024年,
164,Z6,細島,32゜26',131゜40',106.0,17.9,-88.1,51.30,176.10,22.08,199.76,20.88,188.91,16.18,169.24,-,
165,MG,宮崎,31゜54',131゜27',113.0,-,-,52.32,171.83,23.07,197.07,22.15,186.03,16.78,167.38,-,
166,AB,油津,31゜35',131゜25',116.0,21.4,-94.6,51.91,173.98,22.78,198.29,22.50,190.97,17.46,170.18,2024年,
167,X6,志布志,31゜29',131゜07',116.0,-,-,55.98,176.83,24.44,201.27,22.49,191.47,17.55,171.23,-,
168,QG,大泊,31゜01',130゜41',142.0,18.1,-123.9,68.62,192.54,29.94,217.77,25.15,194.80,19.59,174.77,-,
169,KG,鹿児島,31゜36',130゜34',155.0,22.5,-132.5,76.90,204.66,33.90,230.40,25.14,201.11,19.59,180.91,2024年,
170,MK,枕崎,31゜16',130゜18',150.0,25.1,-124.9,69.53,204.23,30.53,229.92,24.64,199.60,19.16,179.62,2024年,
171,ZJ,阿久根,32゜01',130゜11',160.0,26.6,-133.4,77.73,220.75,34.49,246.82,25.48,205.54,19.95,185.88,-,
172,QH,西之表,30゜44',131゜00',120.0,10.7,-109.3,58.53,194.34,25.66,219.50,22.95,198.82,17.92,179.26,-,
173,TJ,種子島,30゜28',130゜58',120.0,5.4,-114.6,55.21,177.28,23.88,203.03,21.72,189.73,16.50,171.38,2024年,
174,QI,中之島,29゜51',129゜51',125.0,11.6,-113.4,58.42,195.56,25.32,220.81,23.30,198.15,17.98,178.49,-,
175,QJ,名瀬,28゜24',129゜30',115.0,10.2,-104.8,56.09,196.67,24.47,222.53,19.99,203.66,15.18,185.66,-,
176,O9,奄美,28゜19',129゜32',119.0,9.0,-110.0,55.79,182.76,23.30,207.49,22.31,195.13,16.90,174.54,2024年,
177,NK,中城湾港,26゜20',127゜50',120.0,-,-,56.50,185.12,23.49,209.47,21.64,202.36,16.30,183.23,-,
178,ZO,沖縄,26゜11',127゜49',120.0,7.1,-112.9,55.87,185.11,23.20,209.17,21.64,202.44,16.24,183.27,-,
179,NH,那覇,26゜13',127゜40',118.0,7.6,-110.4,57.50,198.00,24.26,222.32,20.72,210.24,15.79,191.10,2024年,
180,DJ,南大東,25゜52',131゜14',98.0,33.2,-64.8,52.21,188.21,22.03,213.38,18.94,200.63,14.63,182.66,2024年,
181,R1,平良,24゜49',125゜17',103.0,-,-,48.72,198.63,20.90,220.74,18.62,216.31,15.58,199.14,-,
182,IS,石垣,24゜20',124゜10',107.0,15.9,-91.1,44.75,193.28,19.51,216.35,19.75,221.20,16.92,199.33,2024年,
183,IJ,西表,24゜21',123゜45',103.0,-,-,50.20,204.60,14.60,219.00,19.10,217.20,18.70,200.20,-,
184,YJ,与那国,24゜27',122゜57',100.0,5.3,-94.7,44.71,192.58,19.08,215.13,20.11,219.46,16.64,196.69,2024年,
185,O7,水俣,32゜12',130゜22',195.0,-,-,100.59,247.55,43.78,280.72,26.69,217.26,20.91,197.37,-,
186,O5,八代,32゜31',130゜34',215.0,-,-,111.27,249.49,48.84,283.17,27.09,218.24,21.03,198.37,-,
187,HS,本渡瀬戸,32゜26',130゜13',205.0,-,-,99.51,246.82,43.35,279.97,26.43,216.36,20.53,196.40,-,
188,RH,苓北,32゜28',130゜02',166.0,22.0,-144.0,82.46,224.98,36.89,251.10,25.50,205.68,19.69,186.11,2024年,
189,MS,三角,32゜37',130゜27',221.0,-,-,118.56,250.33,52.08,284.07,27.31,217.40,21.02,197.42,-,
190,KU,熊本,32゜45',130゜34',245.0,-,-,130.30,253.20,57.51,287.58,27.94,217.35,21.51,197.70,-,
191,O6,大牟田,33゜01',130゜25',265.0,-,-,148.75,255.03,66.12,289.52,28.59,218.06,21.85,198.08,-,
192,OU,大浦,32゜59',130゜13',268.0,25.4,-242.6,148.38,256.32,66.01,291.45,28.68,218.85,21.96,199.20,2024年,
193,KT,口之津,32゜36',130゜12',194.0,24.0,-170.0,98.39,248.02,42.20,281.10,26.65,215.79,20.94,196.35,2024年,
194,NS,長崎,32゜44',129゜52',164.0,26.2,-137.8,80.26,229.00,36.02,254.45,25.66,207.23,20.01,187.35,2024年,
195,KO,皇后,32゜43',129゜50',164.0,-,-,80.61,229.28,36.15,254.64,25.68,207.48,19.98,187.39,-,
196,FE,福江,32゜42',128゜51',159.0,10.0,-149.0,75.14,230.81,34.17,256.19,24.37,206.66,18.95,187.08,2024年,
197,QD,佐世保,33゜09',129゜43',165.0,26.1,-138.9,81.21,240.27,36.76,265.28,24.36,213.72,19.08,194.12,-,
198,X2,平戸瀬戸,33゜22',129゜35',155.0,-,-,76.55,248.54,35.03,273.25,22.30,221.15,17.87,202.46,-,
199,ZL,仮屋,33゜28',129゜51',127.0,25.1,-101.9,63.32,268.43,29.84,292.48,18.16,244.09,15.77,226.17,-,
200,KA,唐津,33゜28',129゜58',118.0,-,-,55.36,272.49,26.35,296.15,15.93,255.11,14.44,237.53,-,
201,QF,博多,33゜37',130゜24',110.0,28.7,-81.3,50.25,279.12,23.99,302.80,14.85,266.48,14.03,247.75,-,
202,X3,郷ノ浦,33゜45',129゜41',127.0,-,-,60.77,264.39,28.71,288.88,15.43,239.19,13.28,223.37,-,
203,QE,厳原,34゜12',129゜18',93.0,9.6,-83.4,50.67,252.90,24.11,278.58,8.29,207.39,6.15,200.40,-,
204,O1,対馬,34゜16',129゜19',88.0,-,-,49.29,252.60,23.40,278.40,7.64,208.11,5.46,204.15,-,
205,N5,対馬比田勝,34゜39',129゜29',58.0,11.1,-46.9,32.00,253.31,15.79,278.52,3.06,246.17,3.69,252.57,2024年,
206,K5,萩,34゜26',131゜25',48.0,-,-,15.56,315.96,7.82,335.17,9.67,326.64,11.09,301.22,-,
207,ZK,須佐,34゜38',131゜36',40.0,27.3,-12.7,12.11,328.86,6.18,345.12,9.19,337.78,10.60,309.62,-,
208,HA,浜田,34゜54',132゜04',29.0,29.9,0.9,7.92,353.57,3.92,3.44,7.37,353.18,8.99,325.58,2024年,
