月齢,日時,Ser.No.,Day.No.,場所,通称,Style,開始時刻,終了時刻,開始ー北緯度,開始ー北緯分,開始ー緯度度,開始ー緯度分,終了ー北緯度,終了ー北緯分,終了ー緯度度,終了ー緯度分,
9.3,2006/05/07 ,204,1,石垣島平久保東,ヤッチャグチ,D,11:14,11:44,24,34.001,124,21.156,24,34.051,124,21.210,
9.3,2006/05/07 ,205,2,石垣島平久保東,ヤッチャグチ,D,12:05,12:54,24,34.017,124,20.885,24,33.942,124,20.875,
9.3,2006/05/07 ,206,3,石垣島平久保東,ヤッチャグチ,D,13:15,13:58,24,34.017,124,20.885,24,33.942,124,20.875,
9.3,2009/07/02 ,515,1,西表島西崎北,,D,10:30,11:21,24,26.635,123,47.200,24,26.550,123,46.807,
9.3,2009/07/02 ,516,2,西表島西崎東,,D,11:50,12:47,24,26.302,123,47.307,24,26.682,123,47.163,
9.3,2009/07/02 ,517,3,鳩間島北,,D,15:10,16:09,24,28.805,123,49.294,24,28.836,123,49.340,
9.6,2007/04/27 ,262,1,ヨナラ水道北西,,D,10:13,10:45,24,22.353,123,57.015,24,22.229,123,57.217,
9.6,2007/04/27 ,263,2,ヨナラ水道北西,,D,11:28,12:08,24,22.293,123,57.088,24,22.124,123,57.164,
9.6,2007/04/27 ,264,3,西表島野原崎北,,D,14:47,15:27,24,23.010,123,56.200,24,22.963,123,56.324,
9.7,2004/01/02 ,16,1,波照間島西浜,,A,11:36,12:25,24,6.293,123,48.589,,,,,
9.7,2004/01/02 ,17,2,波照間島テイ浜,,A,14:12,14:56,24,2.450,123,45.330,,,,,
9.7,2004/01/02 ,18,3,波照間島テイ浜,,A,,,24,2.452,123,45.142,,,,,
10.0,2009/05/05 ,508,1,西表島南,ナカバマー,D,10:23,11:10,24,16.707,123,44.701,24,16.058,123,46.629,123.777148
10.0,2009/05/05 ,509,2,西表島南,ハイミ,D,12:08,12:52,24,15.350,123,50.386,24,14.833,123,51.130,123.852173
10.0,2009/05/05 ,510,3,下地島南,,D,15:12,16:03,24,12.315,123,55.781,24,12.488,123,55.409,123.923486
10.3,2009/07/03 ,518,1,石垣島平久保東,ヤッチャグチ,D,10:25,11:04,24,33.396,124,20.034,24,33.480,124,20.089,
10.3,2009/07/03 ,519,2,石垣島平久保東,ヤッチャグチ,D,11:40,12:33,24,33.754,124,21.012,24,34.344,124,21.120,
10.3,2009/07/03 ,520,3,石垣島トムル崎,ニシグルチ,D,15:00,16:05,24,31.075,124,18.694,24,31.446,124,18.896,
10.6,2007/04/28 ,265,1,黒島南西,,D,10:34,11:20,24,13.131,123,59.865,24,12.907,124,0.022,
10.6,2007/04/28 ,266,2,黒島南,,D,11:59,12:45,24,12.583,124,0.710,24,12.478,124,0.710,
10.6,2007/04/28 ,267,3,竹富島南,カタグァー,D,14:59,15:36,24,14.702,124,6.251,24,14.690,124,5.952,
11.0,2005/08/16 ,93,1,波照間島北,,A,11:38,12:34,24,4.375,123,47.497,,,,,
11.0,2005/08/16 ,94,2,波照間島天文台,,D,14:02,14:52,24,2.816,123,47.917,24,2.994,123,48.439,123.807321
11.0,2005/08/16 ,95,3,波照間島東,,D,15:46,16:33,24,3.355,123,48.640,24,3.355,123,48.908,123.81514
11.3,2009/07/04 ,521,1,鳩間島東,,A,11:41,12:36,24,27.811,123,50.462,,,,,
11.3,2009/07/04 ,522,2,鳩間島東,,D,14:21,15:14,24,27.811,123,50.462,24,28.184,123,50.261,123.83769
11.6,2004/05/01 ,19,1,ヨナラ水道北東,,A,11:07,11:50,24,22.297,123,57.195,,,,,
11.6,2004/05/01 ,20,2,ヨナラ水道北東,,A,13:08,13:53,24,24.300,123,57.033,,,,,
11.6,2007/04/29 ,268,1,鳩間島東,,D,10:38,11:36,24,28.323,123,48.096,24,28.888,123,48.153,
11.6,2007/04/29 ,269,2,ヨナラ水道,,D,13:43,14:41,24,20.449,123,56.966,24,20.859,123,57.095,
11.6,2007/04/29 ,270,3,小浜島北西,,D,15:09,16:02,24,21.872,123,57.398,24,22.187,123,57.670,
11.7,2010/09/20 ,712,1,鳩間島東,,D,12:06,12:56,24,28.146,123,48.041,24,28.703,123,48.109,
11.7,2010/09/20 ,713,2,鳩間島北,,D,14:53,15:40,24,28.930,123,48.869,24,28.858,123,49.589,
12.0,2005/08/17 ,96,1,ヨナラ水道,,D,10:57,11:18,24,21.851,123,57.314,24,21.371,123,57.170,
12.0,2005/08/17 ,97,2,ヨナラ水道,,D,14:05,14:50,24,20.747,123,56.714,24,21.260,123,56.856,123.947597
12.0,2005/08/17 ,98,3,ヨナラ水道,,D,15:50,16:28,24,22.163,123,57.967,24,22.270,123,58.053,
12.0,2007/06/24 ,295,1,西表島網取湾,,D,09:50,10:32,24,20.990,123,40.834,24,20.839,123,40.653,
12.0,2007/06/24 ,296,2,西表島網取湾,,D,12:26,13:16,24,20.454,123,40.760,24,20.647,123,40.786,
12.0,2007/06/24 ,297,3,西表島宇奈利崎,,D,14:53,15:42,24,25.704,123,45.713,24,26.057,123,45.633,
12.3,2009/07/05 ,523,1,西表島野原崎北,ヨナランジュ,D,10:00,10:36,24,22.347,123,57.036,24,22.300,123,57.223,
12.3,2009/07/05 ,524,2,小浜島北西,クバマビシ,D,11:06,11:50,24,22.165,123,57.632,24,22.046,123,57.283,
12.3,2009/07/05 ,525,3,西表島野原崎北,ヨナランジュ,D,15:01,15:50,24,22.011,123,56.583,24,22.972,123,56.368,
12.6,2004/05/02 ,21,1,鳩間島東,,A,11:24,12:04,24,28.383,123,50.170,,,,,
12.6,2004/05/02 ,22,2,鳩間島西北,,A,13:36,14:25,24,28.763,123,49.608,,,,,
12.6,2004/05/02 ,23,3,鳩間島西,,A,15:18,16:00,24,28.392,123,48.125,,,,,
13.0,2005/08/18 ,99,1,鳩間島東,,A,10:54,11:54,24,28.401,123,50.056,,,,,
13.0,2007/06/28 ,298,1,ヨナラ水道北西,ヨナランジュ,D,14:43,15:21,24,22.320,123,57.090,24,22.378,123,57.160,
13.0,2007/06/28 ,299,2,ヨナラ水道北東,クバマビシ,D,16:21,17:06,24,22.098,123,57.782,24,22.207,123,57.504,
13.6,2004/05/03 ,24,1,西表島崎山湾,,A,11:22,12:06,24,18.898,123,39.965,,,,,
13.6,2004/05/03 ,25,2,西表島崎山湾,,A,13:40,14:28,24,18.898,123,39.965,,,,,
13.6,2004/05/03 ,26,3,西表島外離島西,,A,15:31,16:21,24,22.887,123,42.798,,,,,
13.7,2010/09/22 ,714,1,波照間島北,,A,10:30,11:26,24,4.383,123,45.274,,,,,
13.7,2010/09/22 ,715,2,波照間島西,,D,11:55,12:38,24,2.834,123,44.807,24,2.937,123,44.565,
13.7,2010/09/22 ,716,3,波照間島北,,D,14:37,15:34,24,4.457,123,47.003,24,4.379,123,47.471,
14.0,2005/08/19 ,101,1,石垣島浦崎北,トゥガイ,A,11:30,12:50,,,,,,,,,
14.0,2007/06/29 ,300,1,鳩間島東,,D,10:45,11:32,24,27.495,123,50.621,24,27.333,123,50.706,
14.0,2007/06/29 ,301,2,鳩間島西,,D,12:00,12:47,24,28.501,123,48.098,24,28.580,123,48.095,
14.0,2007/06/29 ,302,3,鳩間島北,,D,14:56,15:49,24,28.802,123,49.394,24,28.931,123,49.214,
14.6,2004/05/04 ,27,1,ヨナラ水道北西,ヨナランジュ,A,11:24,12:09,24,23.013,123,56.252,,,,,
14.6,2004/05/04 ,29,3,ヨナラ水道北西,ヨナランジュ,A,15:02,15:49,24,22.398,123,56.902,,,,,
14.6,2007/05/02 ,271,1,波照間島南,,D,10:36,11:21,24,2.564,123,46.927,24,2.449,123,47.191,
14.6,2007/05/02 ,272,2,波照間島北西,,D,11:59,12:57,24,4.337,123,45.166,24,4.303,123,44.855,
14.6,2007/05/02 ,273,3,波照間島北東,,D,14:36,15:28,24,4.275,123,47.727,24,4.424,123,47.304,
