番号,地点記号,掲載地点名,緯度,経度,MSL潮位表基準面,MSL標高,潮位表基準面標高,M2振幅,M2遅角,S2振幅,S2遅角,K1振幅,K1角度,O1振幅,O1遅角,分潮一覧表,備考
67,QO,神津島,34゜13',139゜08',97.0,-,-97.0,38.21,164.41,18.03,190.40,22.60,186.10,17.66,165.90,-,＊１
68,MJ,三宅島（坪田）,34゜03',139゜33',91.0,4.9,-86.1,36.13,151.74,16.87,179.54,22.89,175.54,17.84,157.27,2019年,
69,QP,三宅島（阿古）,34゜04',139゜29',91.0,13.0,-78.0,34.56,155.38,16.61,182.42,22.13,183.74,17.32,165.05,-,
70,D4,八丈島（八重根）,33゜06',139゜46',95.0,-,-,33.56,164.65,15.72,189.54,22.06,189.80,17.32,168.33,-,
71,QQ,八丈島（神湊）,33゜08',139゜48',81.0,-11.3,-92.3,32.06,158.54,15.61,185.29,19.94,181.29,15.27,164.69,-,
72,CC,父島,27゜06',142゜12',68.0,3.7,-64.3,28.27,185.93,12.64,208.94,16.48,195.08,11.99,174.98,2019年,
73,MC,南鳥島,24゜17',153゜59',30.0,-,-30.0,7.92,93.14,4.78,139.00,9.95,197.46,7.55,173.04,2019年,＊１
74,D8,湘南港,35゜18',139゜29',92.0,-,-,36.02,149.23,17.01,176.62,23.16,178.82,18.32,158.57,-,
75,OD,小田原,35゜14',139゜09',95.0,-0.5,-95.5,34.00,145.37,16.21,172.89,22.97,174.82,17.88,156.79,2019年,
76,Z3,伊東,34゜54',139゜08',98.0,6.7,-91.3,35.36,146.83,16.73,174.94,23.83,177.48,18.47,158.44,-,
77,D6,下田,34゜41',138゜58',101.0,-,-,39.22,159.32,18.30,185.87,24.26,181.73,18.69,162.21,-,
78,QK,南伊豆,34゜38',138゜53',100.0,-,-,39.90,162.90,18.52,188.38,24.13,184.16,18.60,164.18,-,
79,G9,石廊崎,34゜37',138゜51',100.0,10.8,-89.2,39.89,164.93,18.67,190.05,24.40,184.97,18.66,164.98,2019年,
80,Z4,田子,34゜48',138゜46',100.0,14.4,-85.6,40.27,166.85,18.94,192.86,20.87,187.77,16.21,168.61,-,
81,UC,内浦,35゜01',138゜53',100.0,10.5,-89.5,40.46,167.65,18.74,192.53,20.44,179.92,15.12,161.75,2019年,
82,SM,清水港,35゜01',138゜31',95.0,19.3,-75.7,39.25,166.49,18.45,191.68,21.16,180.37,15.65,160.49,2019年,
83,Z5,焼津,34゜52',138゜20',95.0,18.9,-76.1,40.67,164.91,18.94,190.97,22.90,183.08,17.43,161.46,-,
84,OM,御前崎,34゜37',138゜13',100.0,7.9,-92.1,40.87,166.19,18.95,191.76,23.13,185.50,17.87,164.47,2019年,
85,MI,舞阪,34゜41',137゜37',70.0,5.1,-64.9,32.05,178.33,14.29,203.14,17.08,192.94,12.56,173.08,2019年,
86,I4,赤羽根,34゜36',137゜11',105.0,-3.3,-108.3,44.08,167.58,20.40,192.32,22.00,182.64,16.46,162.93,2019年,
87,G4,三河,34゜44',137゜19',135.0,-,-,61.85,176.40,29.23,202.44,23.96,186.78,17.85,166.33,-,
88,G5,形原,34゜47',137゜11',135.0,-,-,60.40,180.28,28.12,206.47,23.87,189.70,18.14,168.58,-,
89,G8,衣浦,34゜53',136゜57',130.0,-,-,60.22,177.50,28.49,203.67,23.65,186.82,17.67,166.82,-,
90,ZD,鬼崎,34゜54',136゜49',130.0,-2.3,-132.3,62.05,176.77,29.23,202.96,23.92,186.46,17.84,166.43,-,
91,NG,名古屋,35゜05',136゜53',140.0,3.1,-136.9,64.69,177.68,30.51,203.86,24.03,186.64,17.90,166.64,2019年,
92,G3,四日市港,34゜58',136゜38',130.0,-,-,62.66,176.70,29.49,202.95,23.89,186.33,17.81,166.20,-,
93,TB,鳥羽,34゜29',136゜49',120.0,0.2,-119.8,54.51,178.24,25.51,204.20,23.23,187.81,17.50,167.04,2019年,
94,OW,尾鷲,34゜05',136゜12',104.0,3.7,-100.3,43.73,169.78,19.86,194.16,22.19,185.75,17.20,165.74,2019年,
95,KN,熊野,33゜56',136゜10',102.0,5.3,-96.7,43.36,169.98,19.75,194.04,21.94,186.95,17.09,167.31,2019年,
96,UR,浦神,33゜34',135゜54',105.0,15.7,-89.3,45.67,171.61,20.39,196.11,21.39,186.65,16.37,167.84,2019年,
97,KS,串本,33゜29',135゜46',105.0,28.1,-76.9,45.59,174.15,20.31,196.76,21.88,187.10,16.55,166.77,2019年,
98,SR,白浜,33゜41',135゜23',110.0,15.2,-94.8,47.75,172.40,21.63,197.22,21.91,189.01,17.00,168.25,2019年,
99,GB,御坊,33゜51',135゜10',110.0,13.2,-96.8,48.13,173.72,21.87,198.30,21.98,188.53,17.10,168.26,2019年,
100,H1,下津,34゜07',135゜08',110.0,-,-,45.04,186.14,21.43,209.21,23.85,192.24,18.14,170.91,-,
101,Z9,海南,34゜09',135゜12',111.0,11.1,-99.9,44.32,186.43,21.32,208.27,24.01,191.60,18.44,170.80,-,
102,WY,和歌山,34゜13',135゜09',111.0,15.7,-95.3,43.77,187.75,21.16,209.41,24.04,192.01,18.49,171.17,2019年,
