date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Td7,R0,K,CFR
2020-04-20,69,2.0,62.714285714285715,1.0,1.1428571428571428,0.5714285714285714,1.0,0.14285714285714285,16.293621707020627,1.2370197599388175,0.2575406032482599,0.009111617312072893
2020-04-21,69,2.0,64.0,0.0,1.2857142857142856,0.8571428571428571,0.0,0.2857142857142857,20.381488953096117,1.185356191386668,0.211845102505695,0.013392857142857142
2020-04-22,70,2.0,65.28571428571428,1.0,1.2857142857142856,1.1428571428571428,0.0,0.2857142857142857,25.364757759334875,1.1464106371937415,0.17410714285714302,0.017505470459518602
2020-04-23,71,2.0,66.42857142857142,1.0,1.1428571428571428,1.4285714285714284,0.0,0.2857142857142857,33.279213093290075,1.109757098751233,0.1356673960612692,0.021505376344086023
2020-04-24,71,2.0,67.71428571428571,0.0,1.2857142857142856,1.5714285714285712,0.0,0.14285714285714285,38.54481082121484,1.0940806935161844,0.11827956989247312,0.02320675105485232
2020-04-25,72,2.0,68.85714285714285,1.0,1.1428571428571426,1.714285714285714,0.0,0.14285714285714285,40.919681334825846,1.0883862154351784,0.11181434599156126,0.024896265560165973
2020-04-26,73,2.0,70.0,1.0,1.1428571428571426,1.8571428571428568,0.0,0.14285714285714285,43.38521786348053,1.0831601942924716,0.10580912863070524,0.026530612244897955
2020-04-27,73,2.0,70.71428571428571,0.0,0.7142857142857142,1.9999999999999996,0.0,0.14285714285714285,44.147100557325786,1.0816679738974573,0.10408163265306125,0.028282828282828278
2020-04-28,73,3.0,71.28571428571428,0.0,0.5714285714285714,1.9999999999999996,1.0,0.0,48.63482298211798,1.0738607999281122,0.0949494949494949,0.028056112224448895
2020-04-29,74,3.0,71.85714285714286,1.0,0.5714285714285714,2.1428571428571423,0.0,0.14285714285714285,55.18517966199714,1.0648159124285235,0.08416833667334667,0.029821073558648103
2020-04-30,74,3.0,72.42857142857143,0.0,0.5714285714285714,2.2857142857142856,0.0,0.14285714285714285,61.767784928240644,1.0577130924576625,0.07554671968190874,0.031558185404339245
2020-05-01,74,3.0,72.85714285714286,0.0,0.42857142857142855,2.4285714285714284,0.0,0.14285714285714285,72.09160223075826,1.049248358203774,0.06508875739644981,0.033333333333333326
2020-05-02,74,3.0,73.28571428571429,0.0,0.42857142857142855,2.571428571428571,0.0,0.14285714285714285,85.92742012690908,1.0411577280445607,0.054901960784313864,0.035087719298245605
2020-05-03,74,3.0,73.57142857142857,0.0,0.2857142857142857,2.714285714285714,0.0,0.14285714285714285,105.7768091183063,1.0333072804601295,0.04483430799220278,0.036893203883495145
2020-05-04,74,3.0,73.71428571428571,0.0,0.14285714285714285,2.8571428571428568,0.0,0.14285714285714285,122.49774918799571,1.0286962682345873,0.03883495145631077,0.03875968992248062
2020-05-05,74,3.0,73.85714285714285,0.0,0.14285714285714285,2.9999999999999996,0.0,0.14285714285714285,144.83382878665947,1.0242176468730995,0.032945736434108586,0.04061895551257253
2020-05-06,74,3.0,74.0,0.0,0.14285714285714285,2.9999999999999996,0.0,0.0,176.74143106949285,1.0198025953318064,0.027079303675048183,0.040540540540540536
2020-05-07,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,226.05182223795842,1.0154497309583899,0.021235521235521193,0.040540540540540536
2020-05-08,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,311.73665119013754,1.0111795410065254,0.015444015444015413,0.040540540540540536
2020-05-09,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,500.24039840225225,1.0069521958652266,0.009652509652509522,0.040540540540540536
2020-05-10,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,835.3555285853748,1.0041574336746375,0.00579150579150578,0.040540540540540536
2020-05-11,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,1254.2482590597422,1.002767018847995,0.0038610038610039643,0.040540540540540536
2020-05-12,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,2510.924880252683,1.0013812156802697,0.0019305019305020377,0.040540540540540536
2020-05-13,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-05-14,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-05-15,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-05-16,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-05-17,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-05-18,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-05-19,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-05-20,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-05-21,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-05-22,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-05-23,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-05-24,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-05-25,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-05-26,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-05-27,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-05-28,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-05-29,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-05-30,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-05-31,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-01,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-02,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-03,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-04,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-05,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-06,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-07,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-08,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-09,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-10,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-11,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-12,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-13,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-14,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-15,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-16,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-17,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-18,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-19,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-20,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-21,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-22,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-23,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-24,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-25,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-26,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-27,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-28,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-29,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-06-30,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-07-01,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-07-02,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-07-03,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-07-04,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-07-05,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-07-06,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-07-07,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-07-08,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-07-09,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-07-10,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-07-11,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-07-12,74,3.0,74.0,0.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-07-13,75,3.0,74.0,1.0,0.0,2.9999999999999996,0.0,0.0,,,,0.040540540540540536
2020-07-14,75,3.0,74.14285714285714,0.0,0.14285714285714285,2.9999999999999996,0.0,0.0,,,,0.040462427745664734
2020-07-15,75,3.0,74.28571428571428,0.0,0.14285714285714285,2.9999999999999996,0.0,0.0,2515.776912023849,1.0013785499750858,0.0019267822736029894,0.04038461538461538
2020-07-16,76,3.0,74.42857142857143,1.0,0.14285714285714285,2.9999999999999996,0.0,0.0,1259.1002953512832,1.0027563412540161,0.0038461538461537215,0.04030710172744721
2020-07-17,76,3.0,74.71428571428572,0.0,0.2857142857142857,2.9999999999999996,0.0,0.0,840.2075724115377,1.0041333757121749,0.0057581573896353655,0.0401529636711281
2020-07-18,76,3.0,75.0,0.0,0.2857142857142857,2.9999999999999996,0.0,0.0,505.09246634009094,1.006885181626639,0.00956022944550683,0.039999999999999994
2020-07-19,76,3.0,75.28571428571429,0.0,0.2857142857142857,2.9999999999999996,0.0,0.0,361.4708272699003,1.0096339825579728,0.013333333333333308,0.039848197343453504
2020-07-20,76,3.0,75.57142857142857,0.0,0.2857142857142857,2.9999999999999996,0.0,0.0,281.6803477697143,1.0123797932165248,0.017077798861480198,0.03969754253308128
2020-07-21,76,3.0,75.71428571428571,0.0,0.14285714285714285,2.9999999999999996,0.0,0.0,254.2386693089112,1.013725157394638,0.01890359168241973,0.03962264150943396
2020-07-22,77,3.0,75.85714285714285,1.0,0.14285714285714285,2.9999999999999996,0.0,0.0,254.72388703414944,1.0136988343919258,0.018867924528301883,0.03954802259887005
2020-07-23,77,3.0,76.14285714285714,0.0,0.2857142857142857,2.9999999999999996,0.0,0.0,255.20910470349503,1.0136726121653634,0.01883239171374751,0.03939962476547842
2020-07-24,78,3.0,76.28571428571428,1.0,0.14285714285714285,2.9999999999999996,0.0,0.0,256.1795398757759,1.0136204677345886,0.018761726078799112,0.03932584269662921
