date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Td7,Rt,K,CFR
2020-11-07,9261,174.0,8887.42857142857,137.0,68.28571428571428,172.0,1.0,0.42857142857142855,119.12214122149965,1.0582575138345305,0.03991317588362975,0.019353179450909794
2020-11-08,9340,177.0,8966.0,79.0,78.57142857142857,172.57142857142856,3.0,0.5714285714285714,116.44430035716039,1.1296525660981886,0.04081206198161136,0.01924731525445333
2020-11-09,9375,178.0,9046.42857142857,35.0,80.42857142857142,173.4285714285714,1.0,0.8571428571428571,111.14198210855962,1.2377834218754202,0.042716930626812366,0.019170943545203312
2020-11-10,9474,178.0,9128.714285714284,99.0,82.28571428571428,174.4285714285714,0.0,1.0,105.97283918420456,1.2542227385509703,0.04475325700750099,0.019107682195896775
2020-11-11,9604,180.0,9215.285714285712,130.0,86.57142857142856,175.1428571428571,2.0,0.7142857142857142,101.07697544757892,1.2638513320533675,0.046869376066102086,0.019005689305036665
2020-11-12,9750,181.0,9314.142857142855,146.0,98.85714285714285,176.14285714285714,1.0,0.9999999999999999,95.17967320542171,1.3575887632447938,0.04970003255460609,0.018911332995904848
2020-11-13,9895,182.0,9418.285714285714,145.0,104.14285714285714,177.2857142857143,1.0,1.1428571428571428,88.84989137765415,1.3977888443324435,0.05314498688630176,0.01882356510132266
2020-11-14,10042,182.0,9528.428571428572,147.0,110.14285714285714,178.57142857142856,0.0,1.2857142857142856,83.63358858090079,1.3518493867517056,0.05636451886906935,0.018740910658330705
2020-11-15,10155,182.0,9640.0,113.0,111.57142857142857,179.7142857142857,0.0,1.1428571428571428,79.7504448368637,1.2728574755624473,0.059026372209478484,0.018642560758743328
2020-11-16,10216,182.0,9756.428571428572,61.0,116.42857142857142,180.42857142857142,0.0,0.7142857142857142,76.34853183020944,1.2633696989999232,0.06157379964433918,0.018493301120140564
2020-11-17,10349,182.0,9876.571428571428,133.0,120.14285714285712,181.0,0.0,0.5714285714285714,72.9611640880557,1.2813505116704147,0.06433853137125733,0.018326197639435316
2020-11-18,10575,183.0,10001.571428571428,226.0,124.99999999999999,181.57142857142856,1.0,0.5714285714285714,70.01301370737133,1.2637452934517845,0.0669549872714651,0.01815429004013655
2020-11-19,10780,183.0,10140.285714285714,205.0,138.7142857142857,182.0,0.0,0.42857142857142855,68.13860564807115,1.1824617828953337,0.06873205639113866,0.017948212222817055
2020-11-20,10988,184.0,10287.42857142857,208.0,147.1428571428571,182.28571428571428,1.0,0.2857142857142857,65.6895142920709,1.2272206206390635,0.07120114958721935,0.017719269010720438
2020-11-21,11181,184.0,10443.571428571428,193.0,156.14285714285714,182.57142857142856,0.0,0.2857142857142857,63.307049540540724,1.229829455211922,0.07377937010498237,0.017481704397784008
2020-11-22,11344,184.0,10606.285714285714,163.0,162.71428571428572,182.85714285714283,0.0,0.2857142857142857,60.600756739193926,1.2713457129317327,0.07694412146911966,0.017240450406766875
2020-11-23,11414,185.0,10776.142857142855,70.0,169.85714285714283,183.1428571428571,1.0,0.2857142857142857,58.093947681397175,1.2700854462496454,0.08012768708582496,0.01699521429613034
2020-11-24,11480,185.0,10947.285714285714,66.0,171.1428571428571,183.57142857142853,0.0,0.42857142857142855,55.662167348785175,1.2806146642109995,0.08347805337186631,0.0167686706424293
2020-11-25,11640,188.0,11108.857142857141,160.0,161.57142857142856,183.99999999999997,3.0,0.42857142857142855,53.70300687952218,1.2515938013592074,0.0863880152940717,0.016563359995884878
2020-11-26,11894,189.0,11261.0,254.0,152.14285714285714,184.7142857142857,1.0,0.7142857142857142,53.18659900489889,1.1151073963553455,0.08718911550628838,0.01640300912124018
2020-11-27,12112,192.0,11420.142857142857,218.0,159.1428571428571,185.57142857142858,3.0,0.857142857142857,53.659364046615124,1.0241557034702928,0.08645514861659087,0.016249483994445906
2020-11-28,12327,194.0,11580.714285714284,215.0,160.57142857142856,186.7142857142857,2.0,1.1428571428571428,54.278066333908484,1.0136863350844698,0.08551306588609109,0.016122864368099673
2020-11-29,12478,194.0,11744.42857142857,151.0,163.71428571428572,188.14285714285714,0.0,1.4285714285714284,55.202991491996286,0.9905754542024092,0.08414235490038857,0.01601975404751189
2020-11-30,12559,195.0,11906.428571428569,81.0,162.0,189.57142857142858,1.0,1.4285714285714284,56.389930160824555,0.9740323972115029,0.08244638795295045,0.015921770952066715
2020-12-01,12716,197.0,12069.999999999998,157.0,163.57142857142858,191.0,2.0,1.4285714285714284,57.77125757037308,0.9615430659635633,0.08055672205891162,0.015824357912178958
2020-12-02,12929,198.0,12246.571428571428,213.0,176.57142857142856,192.7142857142857,1.0,1.714285714285714,58.47207131790669,1.0088261800948868,0.07963072552964845,0.015736182721694702
2020-12-03,13126,201.0,12430.714285714286,197.0,184.1428571428571,194.1428571428571,3.0,1.4285714285714284,57.830707882720034,1.1122234436707688,0.08047733476424879,0.015617996897086706
2020-12-04,13314,207.0,12606.714285714284,188.0,175.99999999999997,195.85714285714283,6.0,1.7142857142857142,57.22296921751785,1.1098458483533524,0.08129632821927257,0.015535938898772762
2020-12-05,13505,211.0,12778.42857142857,191.0,171.71428571428572,198.0,4.0,2.142857142857143,57.157754496898875,1.0677271432289857,0.08138520289641571,0.015494862994555558
2020-12-06,13639,213.0,12946.714285714284,134.0,168.28571428571428,200.42857142857142,2.0,2.428571428571429,57.50246521087812,1.0346653206448881,0.08091761786045681,0.015481037659858542
2020-12-07,13704,215.0,13112.571428571426,65.0,165.85714285714283,203.1428571428571,2.0,2.7142857142857144,57.92530927533073,1.0275636670322335,0.08035133017754104,0.015492221205386326
2020-12-08,13855,217.0,13276.142857142857,151.0,163.57142857142856,206.0,2.0,2.8571428571428568,58.565175501281885,1.0099614782633968,0.07950930404845946,0.01551655493742804
2020-12-09,14100,219.0,13438.857142857141,245.0,162.71428571428567,208.85714285714286,2.0,2.8571428571428568,60.10742796098537,0.9468396581233456,0.07755049336618858,0.01554128752444936
2020-12-10,14314,220.0,13606.142857142855,214.0,167.28571428571428,211.85714285714283,1.0,2.9999999999999996,62.221527131237046,0.9154233897990522,0.0750170082490006,0.015570698109047385
2020-12-11,14599,220.0,13775.857142857141,285.0,169.71428571428567,214.57142857142853,0.0,2.7142857142857135,63.59830306727564,0.9643779604393706,0.07345421710781885,0.01557590401426927
2020-12-12,14822,222.0,13959.428571428569,223.0,183.57142857142856,216.4285714285714,2.0,1.8571428571428568,64.556793625242,0.9916666201760312,0.07240410241519835,0.015504113962912932
2020-12-13,15053,225.0,14147.571428571426,231.0,188.14285714285714,217.99999999999997,3.0,1.5714285714285712,64.42475886589713,1.0640692274832122,0.07254697286012524,0.015409005079115044
2020-12-14,15172,225.0,14349.571428571428,119.0,202.0,219.71428571428572,0.0,1.7142857142857142,63.866404804883764,1.0942326829437248,0.0731574323710279,0.015311557338696031
2020-12-15,15397,226.0,14559.285714285712,225.0,209.71428571428572,221.14285714285714,1.0,1.4285714285714284,62.40439276425714,1.1626793116805982,0.07480561888359027,0.015189128195064516
2020-12-16,15684,227.0,14779.571428571428,287.0,220.28571428571428,222.42857142857142,1.0,1.2857142857142856,60.590782708850426,1.198715030939445,0.07695628710199676,0.015049730806035357
2020-12-17,16003,229.0,15005.857142857138,319.0,226.28571428571428,223.57142857142853,2.0,1.1428571428571428,58.652847829196716,1.2172415558031147,0.07939530432933495,0.014898944221780069
2020-12-18,16298,230.0,15247.142857142853,295.0,241.28571428571428,224.85714285714283,1.0,1.2857142857142856,56.73361474341017,1.2281232542619906,0.08196799345017636,0.014747493675630097
2020-12-19,16613,235.0,15489.85714285714,315.0,242.7142857142857,226.28571428571428,5.0,1.4285714285714284,54.98863274652297,1.2156390948402194,0.0844561041881382,0.014608637910522096
2020-12-20,16852,237.0,15745.714285714284,239.0,255.85714285714286,228.1428571428571,2.0,1.857142857142857,53.52933536731038,1.199514304390103,0.08665578396923335,0.014489203411359099
2020-12-21,17039,238.0,16002.714285714284,187.0,257.0,229.85714285714286,1.0,1.714285714285714,52.257698370134996,1.1839100232734858,0.08866811830883681,0.01436363474053509
2020-12-22,17387,242.0,16269.428571428569,348.0,266.71428571428567,231.7142857142857,4.0,1.8571428571428568,51.32828459725749,1.1563121178910756,0.09019898410091154,0.014242312487926524
2020-12-23,17732,244.0,16553.714285714283,345.0,284.2857142857143,234.0,2.0,2.2857142857142856,50.51994226491987,1.1463798177023923,0.09157403017052135,0.01413580033829266
2020-12-24,18227,249.0,16846.28571428571,495.0,292.57142857142856,236.42857142857142,5.0,2.428571428571428,49.424824521081305,1.1770210060684223,0.09350512616935358,0.01403446287439368
2020-12-25,18693,252.0,17164.0,466.0,317.7142857142857,239.28571428571428,3.0,2.8571428571428568,48.64772648420067,1.1475878208944466,0.09492554526644281,0.013941139261577388
2020-12-26,19173,258.0,17506.142857142855,480.0,342.1428571428571,242.42857142857144,6.0,3.142857142857143,47.27750225649796,1.2120752251079658,0.09753803642174674,0.013848200223594986
2020-12-27,19516,259.0,17871.85714285714,343.0,365.71428571428567,245.7142857142857,1.0,3.2857142857142856,45.780944717148316,1.2306936261418149,0.10056061953763162,0.013748671095017706
2020-12-28,19849,260.0,18252.428571428572,333.0,380.5714285714285,248.85714285714286,1.0,3.1428571428571423,43.92213864165495,1.2865742604739179,0.10458582128326255,0.01363419349284244
2020-12-29,20244,260.0,18653.85714285714,395.0,401.4285714285714,252.0,0.0,3.1428571428571423,42.187772602385714,1.2890759377595455,0.10864307685083019,0.013509270392182391
2020-12-30,20675,268.0,19062.0,431.0,408.1428571428571,254.57142857142856,8.0,2.571428571428571,40.62233136102886,1.2794933441903416,0.11258491158473549,0.013354917037636584
2020-12-31,21263,273.0,19482.42857142857,588.0,420.4285714285714,258.0,5.0,3.4285714285714284,39.26651138511735,1.2684449809039002,0.11623724088313347,0.013242702215182913
2021-01-01,21733,276.0,19916.142857142855,470.0,433.7142857142857,261.42857142857144,3.0,3.428571428571428,38.295789070495694,1.2215092803475445,0.11900100456821883,0.01312646596802307
